environment,cb_method,delta_sr_pp,ci_lo,ci_hi,significant
HotpotQA,CaTS,2.0,-0.5,4.7,No
HotpotQA,SEAG,27.7,23.7,31.8,Yes
HotpotQA,CoRefine,27.0,23.0,31.2,Yes
HotpotQA,CATTS,26.8,22.7,30.8,Yes
HotpotQA,AUQ,-1.8,-4.0,0.3,No
HotpotQA,s1,-1.8,-4.2,0.3,No
WebShop,CaTS,36.3,32.0,40.7,Yes
WebShop,SEAG,36.5,31.8,41.0,Yes
WebShop,CoRefine,36.7,32.2,41.0,Yes
WebShop,CATTS,36.5,32.0,41.0,Yes
WebShop,AUQ,8.2,2.5,13.8,Yes
WebShop,s1,36.0,31.3,40.5,Yes
TWExpress,CaTS,2.3,0.8,4.0,Yes
TWExpress,SEAG,1.7,0.2,3.2,Yes
TWExpress,CoRefine,1.5,0.0,3.0,No
TWExpress,CATTS,1.5,0.0,3.0,No
TWExpress,AUQ,3.5,1.7,5.5,Yes
TWExpress,s1,4.0,2.2,6.0,Yes
Plancraft,CaTS,1.0,-3.8,5.8,No
Plancraft,SEAG,-1.5,-6.5,3.3,No
Plancraft,CoRefine,0.5,-4.2,5.3,No
Plancraft,CATTS,-1.7,-6.5,3.2,No
Plancraft,AUQ,-0.8,-5.7,3.8,No
Plancraft,s1,5.0,0.5,9.5,Yes
