env,method,n_points,n_missing,sr_n20,sr_n50,sr_n100,sr_n200,sr_n500,rr_n20,rr_n50,rr_n100,rr_n200,rr_n500,rho_sr_vs_ncal,p_sr,rho_rr_vs_ncal,p_rr,interpretation
hotpotqa,catts,4,1,0.5333,0.5333,,0.5333,0.5333,0.0058,0.0058,,0.0058,0.0058,nan,nan,nan,nan,
hotpotqa,seag,4,1,0.6667,0.6667,0.6333,0.6667,,0.2910,0.3130,0.2657,0.3209,,-0.2582,0.7418,0.4000,0.6000,flat
hotpotqa,corefine,5,0,0.6667,0.6333,0.6333,0.6000,0.6667,0.2910,0.2657,0.2657,0.2434,0.3134,-0.1581,0.7995,0.0513,0.9347,flat
hotpotqa,cats,5,0,0.6667,0.5333,0.9667,0.9667,0.9667,0.3134,0.0000,0.8077,0.8077,0.8627,0.7826,0.1176,0.8721,0.0539,WRONG-DIRECTION (positive on misaligned env)
hotpotqa,auq,4,1,0.9667,0.9667,0.9667,,0.9667,0.9600,0.9804,0.9804,,0.9600,nan,nan,0.0000,1.0000,
hotpotqa,s1_budget,4,1,0.9667,0.9667,0.9667,,0.9667,0.6200,0.6078,0.6200,,0.6078,nan,nan,-0.4472,0.5528,
fever,catts,5,0,0.3000,0.3000,0.3000,0.3000,0.3000,0.0054,0.0054,0.0054,0.0054,0.0054,nan,nan,nan,nan,
fever,seag,4,1,0.4000,0.3667,0.3667,,0.3667,0.8208,0.6131,0.5325,,0.5029,-0.7746,0.2254,-1.0000,0.0000,strong-negative (matches misaligned)
fever,corefine,5,0,0.4000,0.3667,0.3667,0.3667,0.3667,0.8208,0.6154,0.5325,0.4971,0.4971,-0.7071,0.1817,-0.9747,0.0048,strong-negative (matches misaligned)
fever,cats,4,1,0.2667,0.2667,0.3333,,0.3333,0.0000,0.0000,0.9240,,0.8721,0.8944,0.1056,0.7379,0.2621,WRONG-DIRECTION (positive on misaligned env)
fever,auq,5,0,0.3667,0.3667,0.3667,0.3667,0.3667,0.7514,0.7500,0.7514,0.7500,0.7514,nan,nan,0.0000,1.0000,
fever,s1_budget,5,0,0.3333,0.3333,0.3333,0.3333,0.3333,0.2762,0.2778,0.2778,0.2762,0.2778,nan,nan,0.2887,0.6376,
apps,catts,4,1,0.7000,0.7000,,0.7000,0.7000,0.0120,0.0120,,0.0120,0.0120,nan,nan,nan,nan,
apps,seag,5,0,0.7000,0.7000,0.7000,0.7000,0.7000,0.0732,0.0854,0.0854,0.0854,0.0732,nan,nan,0.0000,1.0000,
apps,corefine,4,1,0.7000,0.7000,0.7000,0.7000,,0.0732,0.0854,0.0854,0.0854,,nan,nan,0.7746,0.2254,
apps,cats,4,1,0.7000,0.7000,0.7000,0.7000,,0.0000,0.0000,0.0854,0.0732,,nan,nan,0.7379,0.2621,
apps,auq,3,2,,0.7000,0.7333,,0.7000,,0.9733,0.9722,,0.9733,0.0000,1.0000,0.0000,1.0000,flat
apps,s1_budget,3,2,,0.7333,0.6667,,0.6667,,0.4167,0.3846,,0.3846,-0.8660,0.3333,-0.8660,0.3333,WRONG-DIRECTION (negative on aligned env)
webshop,catts,4,1,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,nan,nan,nan,nan,
webshop,seag,5,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan,nan,nan,nan,
webshop,corefine,5,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan,nan,nan,nan,
webshop,cats,4,1,0.0000,1.0000,,1.0000,0.0000,0.0000,1.0000,,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,flat
webshop,auq,5,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,nan,nan,nan,nan,
webshop,s1_budget,5,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0667,0.0667,0.0667,0.0667,0.0667,nan,nan,nan,nan,
